OUName,UserName,FirstName,LastName,MemberOf
PowerLab Users,jjones,Joe,Jones,Accounting
PowerLab Users,abertram,Adam,Bertram,Accounting
PowerLab Users,jhicks,Jeff,Hicks,Accounting
PowerLab Users,dtrump,Donald,Trump,Human Resources
PowerLab Users,alincoln,Abraham,Lincoln,Human Resources
PowerLab Users,bobama,Barack,Obama,Human Resources
PowerLab Users,tjefferson,Thomas,Jefferson,IT
PowerLab Users,bclinton,Bill,Clinton,IT
PowerLab Users,gbush,George,Bush,IT
PowerLab Users,rreagan,Ronald,Reagan,IT
